时间,沪深300指数:涨跌幅
2005-11-24,0.600756
2005-11-25,0.296315
2005-11-28,-0.445422
2005-11-29,-1.006286
2005-11-30,0.288646
2005-12-01,-0.086745
2005-12-02,-0.358621
2005-12-05,-1.186984
2005-12-06,0.752085
2005-12-07,0.896343
2005-12-08,0.024947
2005-12-09,1.52187
2005-12-12,0.130725
2005-12-13,0.065615
2005-12-14,1.018107
2005-12-15,-0.191393
2005-12-16,0.683486
2005-12-19,0.038668
2005-12-20,0.488199
2005-12-21,-0.460037
2005-12-22,0.621163
2005-12-23,0.785251
2005-12-26,0.708382
2005-12-27,-0.327198
2005-12-28,0.169574
2005-12-29,1.206621
2005-12-30,-0.92057
2006-01-04,1.946719
2006-01-05,1.88076
2006-01-06,1.136233
2006-01-09,0.53823
2006-01-10,0.297461
2006-01-11,-0.478146
2006-01-12,1.051797
2006-01-13,-0.498823
2006-01-16,-1.774606
2006-01-17,0.296535
2006-01-18,2.004791
2006-01-19,0.772655
2006-01-20,0.213676
2006-01-23,0.284092
2006-01-24,0.294229
2006-01-25,1.051354
2006-02-06,2.341231
2006-02-07,-0.319095
2006-02-08,0.304388
2006-02-09,-1.304169
2006-02-10,1.249315
2006-02-13,-0.070035
2006-02-14,0.670503
2006-02-15,0.301291
2006-02-16,-2.067757
2006-02-17,0.024213
2006-02-20,0.124563
2006-02-21,1.681318
2006-02-22,-0.089621
2006-02-23,0.336068
2006-02-24,0.775035
2006-02-27,-0.152366
2006-02-28,0.492916
2006-03-01,0.342732
2006-03-02,-1.699099
2006-03-03,0.289891
2006-03-06,-0.269181
2006-03-07,-2.30057
2006-03-08,-0.561788
2006-03-09,-0.488174
2006-03-10,0.453331
2006-03-13,1.087029
2006-03-14,-0.156099
2006-03-15,1.049425
2006-03-16,-0.130423
2006-03-17,-0.350423
2006-03-20,1.332402
2006-03-21,0.298557
2006-03-22,0.663844
2006-03-23,0.083137
2006-03-24,-0.566122
2006-03-27,0.777479
2006-03-28,0.502043
2006-03-29,0.881833
2006-03-30,-0.906792
2006-03-31,0.516656
2006-04-03,1.718425
2006-04-04,0.931047
2006-04-05,0.972947
2006-04-06,0.297008
2006-04-07,-0.007523
2006-04-10,1.337619
2006-04-11,0.482865
2006-04-12,-0.555057
2006-04-13,-2.072201
2006-04-14,2.256279
2006-04-17,0.519128
2006-04-18,0.610718
2006-04-19,0.615232
2006-04-20,-0.33912
2006-04-21,1.302649
2006-04-24,-0.562151
2006-04-25,-0.067209
2006-04-26,1.20813
2006-04-27,-0.039629
2006-04-28,1.478358
2006-05-08,3.932112
2006-05-09,2.721994
2006-05-10,1.144285
