时间,中国:沪深300:资金净主动买入额
2013-11-18,83.6152
2013-11-19,-28.722487
2013-11-20,12.527746
2013-11-21,-19.278466
2013-11-22,-28.978081
2013-11-25,-11.403561
2013-11-26,-16.607604
2013-11-27,32.958375
2013-11-28,45.17884
2013-11-29,-20.335591
2013-12-02,-14.261791
2013-12-03,28.320882
2013-12-04,49.282725
2013-12-05,-14.040075
2013-12-06,-36.199542
2013-12-09,-15.87208
2013-12-10,-25.518396
2013-12-11,-78.208951
2013-12-12,-22.837117
2013-12-13,-20.85808
2013-12-16,-79.056142
2013-12-17,-32.841985
2013-12-18,-21.275512
2013-12-19,-48.30271
2013-12-20,-79.968663
2013-12-23,-4.810179
2013-12-24,-21.108273
2013-12-25,11.236463
2013-12-26,-57.568392
2013-12-27,62.157687
2013-12-30,-14.74006
2013-12-31,50.555859
2014-01-02,-16.701764
2014-01-03,-49.059648
2014-01-06,-67.583662
2014-01-07,-14.871736
2014-01-08,-6.762747
2014-01-09,-31.958516
2014-01-10,-20.295458
